,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,TIMESTAMP,FH_UNDERLYING_VALUE
0,657afa7fc6468219404bd04d,OPTIDX,NIFTY,28-Dec-2023,11000.00,CE,N,10200.00,10335.45,10200.00,10268.25,10268.25,9900.00,10268.25,700,14888750.00,6950,-50.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
1,657afa7fc6468219404c65bd,OPTIDX,NIFTY,28-Dec-2023,13000.00,CE,N,8152.60,8297.25,8152.60,8297.25,8297.25,7951.30,8297.25,350,7431620.00,488600,-100.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
2,657afa7fc6468219404c0860,OPTIDX,NIFTY,28-Dec-2023,14000.00,CE,N,0.00,0.00,0.00,7046.75,7046.75,7046.75,7218.90,0,0.00,7300,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
3,657afa80c6468219404c97b2,OPTIDX,NIFTY,28-Dec-2023,14500.00,CE,N,0.00,0.00,0.00,5793.55,5793.55,5793.55,6720.20,0,0.00,1025,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
4,657afa7fc6468219404c5267,OPTIDX,NIFTY,28-Dec-2023,15000.00,CE,N,6264.25,6403.25,6228.65,6285.65,6305.40,6013.50,6285.65,2550,54286817.50,51000,-800.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
5,657afa7fc6468219404bc1a1,OPTIDX,NIFTY,28-Dec-2023,15500.00,CE,N,0.00,0.00,0.00,4295.00,4295.00,4295.00,5722.80,0,0.00,2850,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
6,657afa7fc6468219404c6ec9,OPTIDX,NIFTY,28-Dec-2023,16000.00,CE,N,5270.00,5338.45,5211.65,5286.05,5338.05,5027.25,5286.05,60800,1293821337.50,275300,22850.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
7,657afa7fc6468219404c586e,OPTIDX,NIFTY,28-Dec-2023,16500.00,CE,N,4710.00,4820.20,4710.00,4805.95,4805.95,4514.10,4805.95,500,10645495.00,6500,-200.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
8,657afa7fc6468219404c23d2,OPTIDX,NIFTY,28-Dec-2023,17000.00,CE,N,4198.15,4349.00,4198.15,4309.65,4349.00,4035.40,4309.65,44000,937300327.50,322550,-33300.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
9,657afa7fc6468219404c5c3f,OPTIDX,NIFTY,28-Dec-2023,17350.00,CE,N,0.00,0.00,0.00,2097.05,2097.05,2097.05,3877.55,0,0.00,150,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
10,657afa7fc6468219404bf836,OPTIDX,NIFTY,28-Dec-2023,17400.00,CE,N,0.00,0.00,0.00,2454.75,0.00,2454.75,3827.70,0,0.00,0,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
11,657afa7fc6468219404c3a82,OPTIDX,NIFTY,28-Dec-2023,17450.00,CE,N,0.00,0.00,0.00,2466.55,2466.55,2466.55,3777.80,0,0.00,100,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
12,657afa7fc6468219404c6b66,OPTIDX,NIFTY,28-Dec-2023,17500.00,CE,N,3742.30,3824.70,3708.85,3810.55,3824.70,3516.80,3810.55,5650,120113242.50,160050,-4000.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
13,657afa7fc6468219404c2418,OPTIDX,NIFTY,28-Dec-2023,17550.00,CE,N,0.00,0.00,0.00,2355.70,2355.70,2355.70,3678.10,0,0.00,50,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
14,657afa7fc6468219404c3582,OPTIDX,NIFTY,28-Dec-2023,17600.00,CE,N,0.00,0.00,0.00,2614.00,2614.00,2614.00,3628.20,0,0.00,350,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
15,657afa7fc6468219404c58d5,OPTIDX,NIFTY,28-Dec-2023,17650.00,CE,N,0.00,0.00,0.00,2222.45,0.00,2222.45,3578.35,0,0.00,0,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
16,657afa7fc6468219404c1d5d,OPTIDX,NIFTY,28-Dec-2023,17700.00,CE,N,0.00,0.00,0.00,2176.60,0.00,2176.60,3528.45,0,0.00,0,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
17,657afa80c6468219404c8c14,OPTIDX,NIFTY,28-Dec-2023,17750.00,CE,N,0.00,0.00,0.00,2502.40,2515.00,2502.40,3478.60,0,0.00,8000,0.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
18,657afa80c6468219404c77f2,OPTIDX,NIFTY,28-Dec-2023,17800.00,CE,N,3490.00,3513.20,3432.00,3513.15,3512.95,3150.00,3513.15,350,7451297.50,56750,-100.00,50,14-Dec-2023,2023-12-13T18:30:00.000Z,21182.7
